#{"t_start": 1764136921.485908, "env_id": "CityDrone-v0"}
r,l,t
-50.1,1,62.845504
-50.1,1,62.846906
-58.632696,20,62.867442
-54.695983,13,62.880864
-70.524038,43,62.924414
-63.236167,39,63.620756
-50.8,2,63.623181
-51.965021,4,63.627779
-50.1,1,63.629197
-50.8,2,63.631581
-50.337742,3,63.635254
-52.5,3,63.639113
-50.919535,2,63.641716
-50.1,1,63.643433
-51.898144,9,63.653495
-50.7,5,63.658928
-51.8,5,63.664733
-50.8,2,63.667137
-52.08011,8,63.676125
-72.249288,94,63.774344
-54.130915,14,63.789101
-50.1,1,63.790518
-177.666019,220,64.015618
-51.217852,10,64.026089
-52.706493,12,64.038556
-52.075181,8,64.04699
-50.261319,3,64.05045
-84.883046,72,64.125321
-52.135484,9,64.134763
-48.238326,4,64.139226
-52.55314,7,64.146655
-52.5,3,64.150124
-52.844004,18,64.169233
-58.4314,20,64.190682
-55.832227,17,64.208375
-49.569048,3,64.212041
-53.671068,34,64.248868
-51.5,3,64.252281
-50.1,1,64.253683
-53.31175,6,64.260056
-53.1,7,64.267809
-57.3,12,64.280441
-53.541657,14,64.294853
-50.8,2,64.29724
-53.6,6,64.303696
-50.1,1,64.305105
-149.036573,68,64.3751
-52.697116,9,64.384492
-66.161026,36,64.421902
-64.283743,45,64.468259
-50.1,1,64.469709
-50.8,2,64.47212
-49.638968,3,64.475492
-58.074599,6,64.482011
-54.373784,12,64.494346
-79.238096,97,64.592614
-56.246274,15,64.608181
-50.1,1,64.609614
-53.9,5,64.615118
-50.8,2,64.617568
-53.1,10,64.627989
-49.06016,2,64.630405
-54.968653,10,64.640917
-52.347735,55,65.371602
-54.0,13,65.385318
-51.1,4,65.389707
-52.5,6,65.397612
-52.2149,8,65.406733
-50.1,1,65.408228
-54.6,9,65.417879
-50.318888,5,65.423263
-53.707876,12,65.43574
-55.7,9,65.445008
-52.2,4,65.449375
-52.35802,10,65.459927
-50.1,1,65.461327
-51.5,3,65.46471
-53.9,5,65.470123
-50.1,1,65.471514
-55.970036,47,65.519858
-62.076894,28,65.548863
-52.623095,6,65.555774
-54.710988,11,65.567576
-50.8,2,65.57017
-50.1,1,65.572098
-50.1,1,65.573662
-55.858053,16,65.590612
-145.198529,108,65.702293
-52.2,4,65.706817
-66.075874,37,65.745999
-58.092875,35,65.782582
-52.555348,10,65.793153
-49.321654,2,65.796249
-50.292022,4,65.80218
-60.628034,19,65.821764
-77.583476,59,65.883485
-52.078536,14,65.898031
-52.474771,7,65.905497
-50.1,1,65.906903
-118.333895,109,66.986003
-50.1,1,66.987452
-51.424968,7,66.994834
-58.658895,7,67.002392
-50.8,2,67.00479
-50.65097,7,67.012192
-50.8,2,67.01459
-50.1,1,67.016002
-51.5,3,67.019396
-50.1,1,67.020803
-52.933317,10,67.031243
-50.1,1,67.032657
-51.236068,13,67.047375
-50.117759,3,67.05078
-50.1,1,67.052189
-58.6,18,67.070664
-55.857346,10,67.081083
-51.8,5,67.086462
-53.997133,8,67.094865
-63.402466,54,67.151446
-58.763001,20,67.171924
-53.818888,10,67.182875
-54.959932,15,67.198246
-53.666611,9,67.207693
-59.397133,19,67.226993
-57.949097,14,67.241628
-51.1,4,67.246184
-60.660523,88,67.339092
-50.1,1,67.340542
-50.1,1,67.341971
-50.1,1,67.343384
-49.243762,4,68.045054
-51.906644,7,68.053483
-51.0,7,68.061019
-51.160609,4,68.065558
-50.1,1,68.066975
-62.980882,81,68.152944
-50.1,1,68.154477
-51.989435,9,68.163996
-50.186334,4,68.168381
-52.2,4,68.172768
-49.566557,3,68.176617
-51.854074,5,68.182297
-50.1,1,68.183697
-50.8,2,68.186085
-66.3,36,68.222784
-51.89902,5,68.228186
-66.930331,46,68.275828
-52.2,4,68.280775
-54.292022,16,68.29716
-50.8,2,68.299552
-224.958919,201,68.502368
